,Address,Price SAR,Size m²,Details,District
38,  شارع النهار حي السعادة  ,21000,80,"محل عباره عن مطعم سابقا ثلاث فتحات 
ايجار الفتحه الوحده ٧٠٠٠

ملاحظه توجد اغراض المطعم للي حاب يكمل بالمطعم",حي السعادة - الرياض
39,  شارع شقراء حي الفيصلية  ,28000,56,محل للايجار في شارع شقراء موقع مميز,حي الفيصلية - الرياض
43,  حي المروج  ,35000,54,معرض تجاري ، حي المروج ، شارع تمير ، مجاور مستوصف ابتسامة العائلة,حي المروج - الرياض
47,  طريق الملك عبدالعزيز حي النفل  ,418000,288,"معرض للايجار طريق الملك عبدالعزيز باتجاه الشمال في مجمع قبل طريق الامير محمد بن سلمان 

* موقع مميز 

 * المساحة 288 متر ميزانين 

* المجمع مؤجر بالكامل 

* عند الرغبه في مزيد من التفاصيل امل التواصل على الرقم : 0569791967 واتس اب 
عبدالرحمن منصور",حي النفل - الرياض
49,  شارع حفصة بنت عمر حي الاندلس  ,18000,56,معرض للايجار فتحتين المساحه 7*8,حي الاندلس - الرياض
55,  شارع عبدالله بن شايق حي قرطبة  ,40000,84,"محلات للإيجار حي قرطبة شارع دباس بن راشد 
الأطوال ٤ × ٢١ م
موقع ممتاز جدا يصلح لجميع الأنشطة",حي قرطبة - الرياض
57,  شارع خديجة بنت خويلد حي العريجاء الغربية  ,50000,50,"اجاره 50 وباقي فيه 3 اشهر
وتقبيله 60,000
المحل دورين
شامل المعدات: 
2 بلاستيشن فور- فريزر-ثلاجة عرض -ثلاجة -مكينة اسبرسو- مكينة كابتشينو-ثلاث دبات غاز- 
مكينة بان كيك- خلاط- وغيرها من عدة الشاهي والقهوة-كل جلسة شاشة بي ان",حي العريجاء الغربية - الرياض
58,  حي المونسية  ,20000,32,"محلات تجارية بشارع القنا 
حى المونسية 
فاتحة أو فتحتين .
المحلات التجارية تصلح جميع المجالات التجارية....
أضواء المساكن ......
أبو صلاح .....
رجاء فضلا وليس أمر 
تواصل معنا واتس أو اتصال فقط على جوال.... 0553479893",حي المونسية - الرياض
62,  حي العارض  ,30000,57,محل كبير بموقع مميز وقريب جدا من طريق الملك عبدالعزيز,حي العارض - الرياض
64,  شارع عبدالله الخالدي حي المناخ  ,28000,96,"عقار رقم 2152/2153
محلين 8 في 12
السعر /            28الف
طريقة الدفع كل ست شهور او سنة


عزيزي العميل 
نسعد بخدمتــك 
واهلاً بك في حي المناخ 
يوجد لدينااا اكثر من 2200 عقار 
تحت ادارة التويجري العقارية 
وجميعهااا في حي المناخ 
1/ للاسف لايوجد تاجير ...",حي المناخ - الرياض
66,  شارع وادي هجر حي الملقا  ,25000,32,محل الإيجار,حي الملقا - الرياض
67,  حي القيروان  ,20000,33,"للايجار  3 محلات في القيروان ..

مساحة كل محل 33
الاطوال 4.50× 7.50
...............................
السعر المعروض للمحل وليس المحلات",حي القيروان - الرياض
68,  شارع محمد بن احمد السديري حي النهضة  ,30000,65,مشغل للإيجار بحي النهضة شارع السديري خلف مطعم الرومانسية فتحتين والمحل فيه مرايات ومتشطب مشغل,حي النهضة - الرياض
71,  شارع عسير حي ظهرة لبن  ,17000,52,"5 محلات للإيجار  مساحة كل محل 52 م 
الواجهه 4 متر والعمق 13 متر 
المحل الواحد بقيمة 15000 للسنه الواحده
الموقع يصلح لمشروع كفي (قهوه) حيث ان الموقع قريب منه الشقق العزابيه",حي ظهرة لبن - الرياض
75,  شارع الوليد بن عبدالملك حي طويق  ,10000,24,محل للايجار على شارع الكهرباء حي طويق,حي طويق - الرياض
77,  شارع الامير سعود بن عبدالعزيز ال سعود الكبير حي الملك فيصل  ,17000,40,"محل  للإيجار مساحة40 متر واجهة جنوب  حي الملك فيصل  شارع سعود الكبير  شارع 36
للتواصل
ابو عبدالإله",حي الملك فيصل - الرياض
78,  طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي حي اليرموك  ,150000,213,"في حي اليرموك الغربي قريب من أطياف مول ..

على طريق الإمام

عدد المعارض ٤ ميزانين

مساحة كل معرض ٢١٣م

ملاحظه // السعر الإجمالي ١٦٥٠٠٠ ريال للمعرض الواحد فقط 

إذا كان الإيجار لكل المعارض يكون فيه خصم ..",حي اليرموك - الرياض
80,  طريق الملك عبدالعزيز حي العارض  ,50000,1800,صالات ميزانين للايجار مساحه الصاله 120م,حي العارض - الرياض
83,  شارع سلطانه حي سلطانة  ,7000,40,"العرض :محللات في مجمع تجاري وسكني للايجار تختلف المساحه من محل الى اخر 

مواقف خاصة بسكان المجمع والمحلات 
السعر : 7500 في السنه +شهر مجاني

الموقع - الرياض -شارع سلطانه العام",حي سلطانة - الرياض
84,  شارع خالد بن الوليد حي الحمراء  ,200000,315,"معرض ميزانين  على طريق الامام مخرج 9 حي الحمراء   شارع حيوي نشط كثيف الحركة 


التواصل فقط بالاتصال  وليس بالمراسله عن طريق الموقع

0500979989",حي الحمراء - الرياض
85,  شارع حمزة بن عبدالمطلب حي الحزم  ,14000,50,للايجار 4محلات على شارع حمزه حي الحزم.  يوجود مواقف امام المحلات,حي الحزم - الرياض
88,  شارع المطري حي الحزم  ,35000,175,"ثلاث معارض للايجار كل معرض مساحته 6.5*27 = 175م كل معرض اجاره 45000 موقع مميز على شارع حمزة بن عبدالطلب بحي الحزم ومقابل للبنوك وقريب من طريق ديراب وشارع حيوي ونشط الايجار للثلاث معارض او معرض واحد 

مكتب السلامه للعقارات 

0554666024


0553135552",حي الحزم - الرياض
89,  طريق ابو عبيدة عامر بن الجراح حي السعادة  ,22000,57,"للايجار 
محلات موقع مميز
عدد ٤ فتحات
مساحة كل فتحة 56 م تقريبآ
قريب لمطعم البيت الرومانسي شارع عبيدة بن الجراح بالسلي
للمفاهمة أبوعبدالله 
0554220083 واتس اب
الاسعار قابلة للتفاوض",حي السعادة - الرياض
90,  طريق الصحابة حي المونسية  ,440000,1100,"معارض للايجار بالكامل حي المونسيه 
طريق الصحابه رضي الله عنهم
 11 فتحه 
الفتحه الواحده ١٠٠ متر 
٤ ف ٢٥ متر 
شارع ٦٠ متر 
بجوار مطعم هرفي بموقع استراتيجي 
السوم ٤٠٠ ألف للايجار بالكامل 
و الحد ٤٤٠ ألف للايجار بالكامل 
الموقع غير دقيق يرجي التواصل للتف...",حي المونسية - الرياض
91,  شارع ابن سعد الزهري حي الدريهمية  ,25000,75,اول سته اشهر مجانا,حي الدريهمية - الرياض
92,  شارع ينبع حي ظهرة لبن  ,250000,1050,"للإيجار معارض ميزانين على شارع ينبع تفتح جنوب
متح منها ٥ معارض مساحه المعرض ١٢٧ دون الميزان 
الايجار بالكامل  ٥ معارض السعر من   ٥٠ الف  
المعرض الواحد ٦٠ الف",حي ظهرة لبن - الرياض
94,  شارع عسير حي ظهرة لبن  ,25000,50,"السعر قابل للتفاوض 

٥ محلات 
ارتفاع المحل٥ متر
الابعاد للمحل ١٢.٥ في ٤ 
٥ محلات 
ارتفاع المحل٥ متر


مكتب منارة المستقبل 
حي لبن شارع نهاوند 
ابو محمد
0504110988
عماد
0538774740

اوقات الاتصال** من الساعة ٤م حتى ٩ م**
في حالة عدم الرد يرجى التواصل ع...",حي ظهرة لبن - الرياض
95,  شارع البريد حي السعادة  ,15000,56,"محل تجاري يقع بشار ع ابي الاسود الدؤلي بحي النسيم بالرياض مساحته الواجهة 5 متر والعمق 14 متر , واجهة المحل مكونة من باب زجاج باداخل وباب سحاب ,لمزيد من المعلومات الرجاء الاتصال بارقم 0556409159",حي السعادة - الرياض
96,    حي النزهة  ,25000,60,"يوجد ٣محلات للإجار على طريق ابو بكر الصديق  الواجهه غربيه مساحة ٤ في عمق ١٢  

سعر الإجار ٢٥٠٠٠  سنوي",حي النزهة - الرياض
97,  حي النرجس  ,130000,80,"تموينات للتقبيل 
حي النرجس 
الموقع مميز وجديد 
المساحة 80 متر 
المبيعات اليومية 2500 لـ 3000يال 
بدون بطايق والدخان لايباع 
الاجار 37000 ف السنه 
باقي له 3 شهور ويحل 
يوجد غرفة عمال ايجارها 7000 في السنه باقي لها 6 شهور ويحل 
سبب البيع النقل خارج الم...",حي النرجس - الرياض
98,  شارع ابراهيم البرهان حي الجنادرية  ,80000,555,"صالات للايجار بحي المعالي شارع الضياء 

للاستفسار او الحجز تواصل على رقم
٠٥٠٤٢٢٦٣٤١",حي الجنادرية - الرياض
101,  شارع الإمام الشافعي حي الروابي  ,13000,36,"محل للإيجار :

المساحة = 36 م٢(9*4) يحتوي على دورة مياه ومغسله.

• إعطاء المستأجر شهرين مجاناً .

الموقع :

الرياض - الروابي - شارع الإمام الشافعي .

للاستفسار :

0550278111",حي الروابي - الرياض
104,  شارع البريد حي السعادة  ,15000,56,محل تجاري يقع بشارع البريد بحي السعادة بالرياض مساحته الواجهة 4متر والعمق 14متر ، واجهة المحل مكونة من باب زجاج بالداخل وباب سحاب ، لمزيد من المعلومات الراجاء الاتصال بالرقم 0556409159,حي السعادة - الرياض
107,  شارع الخليل بن أحمد حي بدر  ,11500,36,"اول ثلاث شهور مجانآ
0505467220
كامل الصعيدي",حي بدر - الرياض
108,  شارع وادي نجران حي المناخ  ,18000,68,"عقار رقم 2058
محل 4 في 17
السعر /          18الف     
طريقة الدفع كل ست شهور او سنة


عزيزي العميل 
نسعد بخدمتــك 
واهلاً بك في حي المناخ 
يوجد لدينااا اكثر من 2200 عقار 
تحت ادارة التويجري العقارية 
وجميعهااا في حي المناخ 
1/ للاسف لايوجد تاجير شهري...",حي المناخ - الرياض
111,  حي النرجس  ,65000,40,"مغسلة ملابس في حي النرجس 
تعمل الان لها سنه 
جميع معدات المغسله متوفرة والمحل شغال 
سبب البيع عدم وجود عمال 
الايجار 26000 في السنه 
السوم الان 40000 الف 
بالنسبة للموقع على طريق عام موقع مميز
المحل فتحه واحدة 40 متر
الدخل اليومي يتراوح مابين 300 الى...",حي النرجس - الرياض
116,  طريق ابو عبيدة عامر بن الجراح حي الفيحاء  ,20000,40,"محل للإيجار:

المساحة = 40 م٢ بدورة مياه مستقلة ومغسله.
-إمكانية إعطاء المستأجر شهرين مجاناً .

الموقع :
الرياض - الفيحاء - شارع أبو عبيدة عامر بن الجراح .",حي الفيحاء - الرياض
118,"  شارع محمد علي جناح, اليرموك,  ",14000,32,محل مساحته 4*8 بدوره مياه  ....,حي اليرموك - الرياض
120,  شارع نهاوند حي ظهرة لبن  ,350000,671,"للإيجار معارض ميزانين شارع ٤٠ شرقي ١٥ جنوبي
  مساحه كل معرض ١٣٤ 
سعر الايجار للمعرض٧٠ الف 
مساحة الدور الارضي بالكامل / ٤٩١م
مساحة الميزان بالكامل/ ١٨٠م (قابل للزيادة)

مساحة السطح/ ٢١٦ م
مساحة الاطلالة/ ١٢٥ م
السطح يصلح  قهوه  
سعر السطح ٢٠٠ الف",حي ظهرة لبن - الرياض
122,  الطريق الدائري الشرقي الفرعي حي الربوة  ,300000,642,معرض للايجار مساحة 642 متر بحي الربوة بجوار وزارة الحرس الوطني واجهه للطريق الدائري الشرقي,حي الربوة - الرياض
125,  شارع الفرزدق حي غبيرة  ,15000,44,"محل للايجار علي شارع الفرزدق حي غبيره
٠١١٢٨٧٠٠٠٢
٠١١٢٨٦٩٠٠٠",حي غبيرة - الرياض
127,  شارع حائل حي ظهرة لبن  ,25000,40,رقم العرض بالمكتب 75 : 42,حي ظهرة لبن - الرياض
130,  شارع قتيبة بن شريح حي النسيم الشرقي  ,13000,30,"محل لاايجار بحي النسيم بين الحمزه والاسود
مقابل مستشفي الازهار
في حال عدم الرد عليكم يرجي ترك رسالة وت سب مع أرسل الاعلان وشكرا",حي النسيم الشرقي - الرياض
131,    حي السلي  ,75000,200,"محل للإيجار :

المساحة = 200 م٢  

عبارة عن :
خمس محلات ، كل محل يحتوي على دورة مياه ومغسلة .

- عداد كهرباء مستقل .
- إمكانية إعطاء المستأجر ثلاث أشهر مجاناً .

الموقع :
الرياض - السلي - شارع اسطنبول .

للاستفسار :

0550278111",حي السلي - الرياض
135,"  شارع اسطنبول, السلي,  ",15000,40,"محلات للإيجار جديدة : 

مساحة المحل = 40 م2 ، ويوجد في كل محل دورة مياه .

- إمكانية إعطاء المستأجر  2 شهر مجاناً .

الموقع :

الرياض - السلي - شارع اسطنبول .

للإستفسار : 

0550278111",حي السلي - الرياض
136,  شارع ابي الاسود الدؤلي حي النسيم الشرقي  ,26000,55,"2محل لاايجار علي شارع ابوالاسود مقابل بيت الشويه بجوار معهد نجد 
في حال عدم الرد عليكم يرجي ترك رسالة وت سب مع أرسل الاعلان وشكرا",حي النسيم الشرقي - الرياض
137,  حي القيروان  ,22000,40,"للايجار محل في القيروان 
مساحته 40
الاطوال 4 × 10",حي القيروان - الرياض
142,  طريق الإمام سعود بن عبدالعزيز بن محمد حي الملك فهد  ,1150000,1161,"صالات تجارية / اربع صالات ( ميزانين )للايجار:-
=========
على طريق الامام سعود بن عبدالعزيز بن محمد باتجاة الشرق قبل مخرج الملك عبدالعزيز على اليمين (في موقع مميز جدا وبمواقف خاصة لمرتادي الصالات ومكتمل الشروط الخاصة بالامن والسلامه (الدفاع المدني)

ل...",حي الملك فهد - الرياض
144,  شارع هارون الرشيد الفرعي حي السلي  ,19000,40,"محل للإيجار 

المساحة = 40 م2 .

يحتوي على: دورة مياه ومغسله .

بالإضافة إلى:
- إعطاء المستأجر شهرين مجانًا .
- عداد كهرباء مستقل.
- الدفع كل 6 شهور .

الموقع:
الرياض - السلي - شارع هارون الرشيد.

للاستفسار:
0550278111",حي السلي - الرياض
145,  شارع ابن مقله حي قرطبة  ,20000,40,5 معارض بحي قرطبة الايجار سنوي او  شهري,حي قرطبة - الرياض
146,  شارع شارع محمد بن شعيل حي المنصورة  ,40000,50,محل حلاقه  بكامل معداته للتقبيل جاهز للعمل  للتواصل مكتب باغي الخير للعقارات    المنصورة  0555300886,حي المنصورة - الرياض
148,  شارع ابي هريرة حي النسيم الشرقي  ,300000,1120,"محلات تجارية للايجار
في الرياض حي النسيم الشرقي
على شارع ابي هريرة ( شارع الحمزة سابقاً )
( شارع 40 م + زاوية + قرب العقار لـ طريق الدائري
و طريق الميه + توفر الخدمات + كثافة سكانية بالمنطقة )
عدد المحلات : 14 محل / كل محل يوجد فيه غرفة جانية
المساحة...",حي النسيم الشرقي - الرياض
150,  شارع إبن كريز حي غبيرة  ,15000,47,"محل للايجار علي شارع الفرزدق حي غبيره
٠١١٢٨٧٠٠٠٢
٠١١٢٨٦٩٠٠٠",حي غبيرة - الرياض
151,  شارع عائشة بنت أبي بكر حي السويدي  ,15000,40,,حي السويدي - الرياض
154,  طريق الامام سعود بن فيصل حي العقيق  ,370000,618,"معرض للإيجار بمساحة / ٦١٨ م

على طريق الإمام سعود بن فيصل 

جميع الرخص للمعرض جاهزه ( الدفاع المدني + التركيبات + اتمام البناء) 

الموقع دقيق 

للمعاينة يرجى التواصل معنا",حي العقيق - الرياض
157,  شارع عقيل عطاس  ,14000,40,محلين  كل محل 40م,حي العارض - الرياض
158,  شارع محمد عبدالله البرقي حي المونسية  ,120000,108,"2 محل للايجار. 
الموقع 

,المؤنسيه  طريق الدمام 

🔹السعر 

محل رقم 7   الايجار 120 الف ريال
محل رقم 28   الايجار 110 الف ريال
مساحات 108 متر 6 في 18
مساحة الميزان 53متر 
مجمع مطاعم وكافيهات


0582920639
0568191192
0501690778",حي المونسية - الرياض
163,   ,100000,250,"عماره  جديده تتكون من 5 معارض وعلى طريق القواة 



والمعارض  100 الف        قابل التفاوض


0557575700 ابو علي",حي العارض - الرياض
164,  حي العارض  ,20000,46,"محل في موقع مميز في العارض
نافذ على الثمانين وعلى رديف القوات",حي العارض - الرياض
168,  حي الخليج  ,17000,36,محل للإيجار بحي الخليج على شارع محمد إسماعيل الصنعاني بجوار مطعم بيت الفطاير,حي الخليج - الرياض
169,  حي طويق  ,35000,188,"معارض للايجار 
بمساحات مختلفه",حي طويق - الرياض
170,  شارع ابن الهيثم حي الخليج  ,100000,150,محلين مع شقه للايجار مكونه من ثلاث غرف وصالة المحل الواحد مساحه ٥في ٢٠متر,حي الخليج - الرياض
175,  حي السليمانية  ,60000,140,"محل للايجار بحي الوزارت 
طريق الملك سعود 
مساحة ( ١٤٠م)
السعر ( ٦٠,٠٠٠)

                     أصول الخبرة العقارية
تأجير  - بيع - إدارة املاك - استئجار عمائر بالكامل
0555357444 - 0552408444 - 0555092444",حي السليمانية - الرياض
176,  شارع الزبير بن العوام حي النسيم الغربي  ,50000,120,,حي النسيم الغربي - الرياض
177,  حي ظهرة لبن  ,13000,80,يوجد فتحتين محلات  الفاتحة الواحدة ٨٠ متر  ٤×٢٠ شارع الجنادرية متفرع من شارع الطايف ظهرة لبن  الفاتحة الواحدة ١٣ الف,حي ظهرة لبن - الرياض
178,  شارع الصحابة حي اشبيلية  ,80000,108,"إيجار محل فتحتين في طريق الصحابة
 حي أشبيليا مساحة كبيرة ممتازة جدآ 
108 متر تفتح شرق شارع 60 متر
اطوال المحلات 13.5× 8",حي اشبيلية - الرياض
188,  شارع عبدالله الخالدي حي المناخ  ,15000,48,"عقار رقم 2154
محل 4 في 12
السعر /             15الف
طريقة الدفع كل ست شهور او سنة


عزيزي العميل 
نسعد بخدمتــك 
واهلاً بك في حي المناخ 
يوجد لدينااا اكثر من 2200 عقار 
تحت ادارة التويجري العقارية 
وجميعهااا في حي المناخ 
1/ للاسف لايوجد تاجير شهري 
...",حي المناخ - الرياض
190,  شارع الطائف حي ظهرة لبن  ,150000,510,"محلات للإيجار  ضاحيه لبن على طريق الطائف 
٦معارض  مساحه كل معرض ٨٥ متر 
سعر الايجار للمعرض ٢٥  الف 
مجموعة مركازك العقاريه",حي ظهرة لبن - الرياض
191,  شارع الامير محمد بن فيصل بن تركي حي القدس  ,100000,96,"بوليفارد جديد في حي القدس 
مطاعم او كوفي عدد اثنين بخدمه طلبات سياره الاول٣٩٤ متر وتم تاجيره كوفي والثاني بمساحه٤٣٨ متر ولازال شاغر)
معارض عددها 12 (٩٦ متر معرض واحد ١١٢ متر ١٠ معارض١٣٢ متر معرض واحد) مكاتب عددها 8 (١٢٧ متر مكتب واحد١٦٠ متر مكتب واحد...",حي القدس - الرياض
193,  شارع سعد بن ابي وقاص حي النسيم الغربي  ,65000,150,معرض تجاري موقع متميز لي نشاط تجاري مساحة المعرض 150 متر تتوفر جميع الخدمات جوال محمد 0554460111,حي النسيم الغربي - الرياض
194,  طريق الامام سعود بن فيصل حي العقيق  ,70000,98,"محل للايجار بمساحة / ٩٨ م

 مجهز لمشغل سابقاً 

على طريق الامام سعود في حي العقيق 

الموقع دقيق 

للمعاينه يرجى التواصل معنا.",حي العقيق - الرياض
196,  شارع ثابت بن النعمان حي المرقب  ,10000,15,"محل للايجار
زاويه يفتح على جهتين
المساحه الاجماليه ١٥ م
يوجد مكيف",حي ثليم - الرياض
197,  شارع طيبة حي ظهرة لبن  ,28000,28,رقم العرض بالمكتب (م3 : 42 ),حي ظهرة لبن - الرياض
198,  شارع الشيخ محمد بن عبداللطيف بن عبدالرحمن حي السويدي الغربي  ,12000,45,"للإيجار 3 محلات تجارية في شارع الشيخ محمد بن عبد اللطيف حي السويدي الغربي
المساحة 45م للمحل الواحد - مباني 1996
المحلات بالديكور الخاص بها
يوجد مواقف سيارات امام المحلات
الموقع بالقرب من الدائري الغربي 
السعر: 12,000 ريال (للمحل الواحد)
استفساركم محل...",حي السويدي الغربي - الرياض
204,  شارع الحسن بن علي حي الروضة  ,105000,128,"فرصة استثمارية رائعة
=============
السعر حد غير قابل للتفاوض حسب المالك.


للإيجار(عدد 3 معارض تجارية)بعمارة تجارية وبموقع مميز 
على  شارع الحسن بن علي (الموقع بالكامل 3 فتحات) مما
 يعطي استقلالية للنشاط التجاري المطلوب 

     - الفتحات مقاسها    11....",حي الروضة - الرياض
207,  شارع النجاح حي الرمال  ,25000,48,"محل للاجار شارع النجاح فتحة واحده



للاستفسار 

0556568692",حي الرمال - الرياض
210,  حي المناخ  ,21000,48,"عقار رقم 2170
محل 4في12
السعر /             21الف
طريقة الدفع كل ست شهور او سنة


عزيزي العميل 
نسعد بخدمتــك 
واهلاً بك في حي المناخ 
يوجد لدينااا اكثر من 2200 عقار 
تحت ادارة التويجري العقارية 
وجميعهااا في حي المناخ 
1/ للاسف لايوجد تاجير شهري 
وا...",حي المناخ - الرياض
212,  طريق الملك عبدالعزيز الفرعي حي المروج  ,100000,140,"للايجار معرض على طريق الملك عبدالعزيز بحي المروج 
المساحة 140م",حي المروج - الرياض
